sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG02601	SAS	SAS	0.0000	0.0001	0.0000	0.9999	0.0000	-1.6014	4.0408	17.9549	3.0762	2.5156
HG03228	SAS	SAS	0.0000	0.0001	0.0000	0.9999	0.0000	-0.9873	4.3321	17.9582	2.6895	2.9395
HG00367	EUR	EUR	0.0000	0.0000	0.0008	0.0000	0.9992	2.9431	-8.3973	-4.2792	-7.2461	-5.4801
HG02513	EAS	EAS	0.9999	0.0000	0.0000	0.0000	0.0001	7.6281	42.9725	1.8385	-8.0214	6.2579
HG01882	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	-59.7023	16.1343	0.4692	0.6284	2.3499
NA19012	EAS	EAS	0.9994	0.0006	0.0000	0.0000	0.0000	6.3134	41.7349	-0.6597	-2.9566	-5.0850
HG01136	AMR	AMR	0.0000	0.0005	0.9995	0.0000	0.0000	-3.9081	-0.5553	-8.6400	5.4481	7.6215
HG03265	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.7895	17.4403	1.3912	-1.1590	0.9014
NA18964	EAS	EAS	0.9998	0.0002	0.0000	0.0000	0.0000	7.5380	42.7279	-0.7655	-5.0518	-3.4456
HG01275	EUR	AMR	0.0000	0.0000	0.3666	0.0000	0.6333	-0.3547	-13.8017	-5.0121	-4.9002	-0.5348
NA12750	EUR	EUR	0.0000	0.0000	0.0056	0.0000	0.9944	-0.4920	-13.5675	-3.0739	-7.8164	1.1321
HG01871	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.3373	43.0335	2.9315	-6.9168	8.1767
NA19338	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-57.9632	15.5966	1.9760	-1.9070	1.2467
NA20359	AFR	AFR	0.0000	0.9986	0.0014	0.0000	0.0000	-48.1461	10.4383	1.2418	-1.0751	3.8452
NA12348	EUR	EUR	0.0000	0.0000	0.0131	0.0000	0.9869	1.1140	-12.9014	-3.6369	-7.2116	1.6384
NA19149	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.2107	15.6555	2.1886	-0.4476	0.6877
NA19030	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-57.9714	16.0563	2.6283	-1.5337	2.3712
