sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
NA18560	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.8857	44.1668	-0.0913	-6.0986	1.6088
HG01896	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-60.5089	17.2820	3.1651	-0.7300	3.0181
NA20878	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.2067	6.3319	23.2718	4.4652	3.4911
NA19209	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.2807	18.4282	2.2981	-0.5820	3.5439
HG01694	EUR	EUR	0.0001	0.0026	0.0177	0.0005	0.9791	-4.7435	-13.7447	-1.8022	-7.5043	4.6288
HG02017	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.4320	40.9248	3.2907	-6.0012	7.1255
NA20763	EUR	EUR	0.0000	0.0000	0.0011	0.0000	0.9989	0.3473	-13.6737	-3.4725	-9.6065	5.3892
NA19121	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.7387	18.4766	3.7559	0.1896	2.7131
HG02058	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.1069	39.7746	0.7576	-5.8549	5.0998
NA18582	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.8510	44.4520	-1.3020	-7.5968	6.7955
HG01527	EUR	EUR	0.0000	0.0000	0.0233	0.0000	0.9767	-2.4632	-13.2864	-2.7004	-7.2501	8.6151
HG04229	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.3165	8.1331	20.9223	5.4099	2.3841
HG02649	SAS	SAS	0.0000	0.0031	0.0003	0.9964	0.0002	-0.6504	-0.3447	12.4213	3.1645	1.9621
HG01353	AMR	AMR	0.0000	0.0007	0.9987	0.0001	0.0005	-1.1298	-4.5536	-5.3086	-0.6975	5.7347
HG03401	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.4424	17.7048	1.8452	0.2723	2.0533
NA20752	EUR	EUR	0.0000	0.0000	0.0005	0.0000	0.9995	-2.3724	-14.7164	-1.9894	-9.0370	5.1522
HG02811	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.0072	17.3151	3.5203	-1.1771	2.7576
HG04017	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.7510	6.3956	24.6506	6.9853	1.2547
HG01697	EUR	EUR	0.0000	0.0000	0.0031	0.0000	0.9968	-1.5714	-11.7883	-2.1254	-7.7037	3.4573
NA18561	EAS	EAS	0.9999	0.0001	0.0000	0.0000	0.0000	8.3150	41.5419	0.0329	-4.9375	-1.4456
NA21105	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.8569	5.4879	21.1076	3.7465	-1.1572
NA19726	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	4.1820	10.7043	-12.3764	20.2663	1.6155
HG01441	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	1.0663	4.0859	-7.7815	12.1743	4.1179
HG03073	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.3822	17.7603	1.6159	-1.0944	1.5007
HG01052	AMR	AMR	0.0000	0.0069	0.9931	0.0000	0.0000	-13.0026	0.0880	-6.3601	2.5518	0.1972
HG02769	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-60.6470	16.4513	3.0554	0.5383	1.2634
HG03986	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.6027	6.2908	21.7072	5.3086	4.0994
HG02144	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-57.0953	15.4064	2.6877	-1.6397	5.0885
NA20876	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.4723	4.4782	20.6134	6.4245	-1.9142
NA18553	EAS	EAS	0.9999	0.0001	0.0000	0.0000	0.0000	7.3749	42.1648	-0.6339	-5.2064	-1.6166
NA19081	EAS	EAS	0.9997	0.0003	0.0000	0.0000	0.0000	7.8769	40.6611	1.2208	-2.7649	-6.1834
HG02153	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.2426	42.9577	1.7916	-7.1752	7.7013
HG02621	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-61.4356	16.6992	1.3383	-1.0582	3.2064
NA19031	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.2871	15.5852	1.5158	-0.3865	1.0889
HG00266	EUR	EUR	0.0000	0.0001	0.0018	0.0000	0.9981	0.2008	-9.6161	-3.0322	-6.3545	-3.6973
HG03777	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.3546	5.9283	20.2079	6.4032	3.9859
HG03967	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.5438	4.7210	20.9921	3.9789	3.1516
NA18970	EAS	EAS	0.9997	0.0003	0.0000	0.0000	0.0000	8.0642	43.1956	-0.5039	-6.0388	-4.4593
HG02604	SAS	SAS	0.0000	0.0014	0.0000	0.9986	0.0000	-1.1527	0.4444	15.0638	2.1411	2.8723
HG00379	EUR	EUR	0.0000	0.0000	0.0027	0.0000	0.9972	1.5687	-8.9370	-3.1766	-6.1526	-3.1889
HG00136	EUR	EUR	0.0000	0.0000	0.0062	0.0000	0.9938	-0.3641	-13.8702	-3.4322	-7.4476	0.3100
HG00421	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.0287	43.3927	-0.0151	-6.9187	1.8745
HG02470	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-58.1566	14.4077	2.0414	-0.9789	2.2645
HG03687	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0123	7.1854	21.9710	4.9947	4.3962
NA19457	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.0015	17.2724	2.9301	-0.1812	2.0303
HG03196	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.6621	16.3233	2.2321	-0.0875	2.4673
NA12286	EUR	EUR	0.0000	0.0000	0.0037	0.0000	0.9963	1.0268	-13.5490	-3.6120	-8.4060	2.4680
NA18616	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	9.2604	43.3858	1.0879	-5.6216	5.0023
HG00375	EUR	EUR	0.0000	0.0002	0.0007	0.0000	0.9992	-0.1978	-9.3367	-3.9516	-6.8362	-5.9425
NA18621	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.8680	43.8365	-2.1771	-3.9242	1.6597
NA21123	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0221	4.5920	21.2522	5.4113	-0.0636
HG01865	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.0185	43.4836	0.9575	-6.9275	5.8054
HG03905	SAS	SAS	0.0001	0.0000	0.0000	0.9999	0.0000	-0.0172	12.0853	16.4942	3.3138	3.3192
NA19648	AMR	AMR	0.0000	0.0000	0.5724	0.0000	0.4276	-0.8777	-11.1932	-2.7219	-3.7768	8.0422
NA19755	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	1.6492	14.9819	-14.5814	23.7324	2.0073
NA19309	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.4131	14.6316	2.0020	-2.2192	-0.4671
HG01789	EUR	EUR	0.0000	0.0000	0.0005	0.0000	0.9995	1.3889	-13.4402	-3.8495	-9.1658	-0.8717
HG03028	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.1636	16.2519	2.0547	-0.0402	3.4170
HG01113	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	1.1635	-3.1190	-7.2454	5.4757	3.3553
HG03189	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.6643	18.8554	2.0793	-1.3319	3.9119
HG04159	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.6448	10.7816	18.6861	3.9601	3.8871
HG00737	AMR	AMR	0.0003	0.0019	0.9966	0.0011	0.0001	-4.9750	-7.6775	-5.8583	-3.9322	4.5345
NA19210	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.4458	16.9221	2.6780	-1.0627	2.4690
HG03604	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.2131	10.9624	19.1166	5.7410	1.3700
HG03890	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.9608	8.5045	19.7287	5.5081	4.0724
NA19401	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-58.4769	16.3755	2.4728	-0.0021	0.0980
HG00610	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.8025	44.1943	-0.1876	-6.1675	3.2512
HG00160	EUR	EUR	0.0000	0.0000	0.0033	0.0000	0.9967	0.6127	-13.2035	-3.8073	-8.9666	2.7492
NA18520	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.6875	16.1077	2.7819	0.0576	3.8407
NA20765	EUR	EUR	0.0000	0.0000	0.0018	0.0000	0.9982	-1.6988	-12.3706	-2.5255	-8.8044	3.8823
HG00525	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.2877	42.6561	-0.6032	-7.1402	4.1661
NA20795	EUR	EUR	0.0000	0.0000	0.0006	0.0000	0.9994	-0.7393	-11.9918	-1.8808	-8.5384	4.6676
HG02651	SAS	SAS	0.0000	0.0003	0.0000	0.9997	0.0000	-0.1384	2.3703	14.8835	2.5639	4.7209
HG00158	EUR	EUR	0.0000	0.0000	0.0255	0.0000	0.9745	0.5522	-11.1285	-2.7862	-5.9631	3.3945
HG01148	AMR	AMR	0.0000	0.0012	0.9988	0.0000	0.0000	-2.4478	-1.5617	-6.9549	4.2900	5.2426
HG00530	EAS	EAS	0.9999	0.0000	0.0000	0.0000	0.0001	8.1687	42.2530	-1.0651	-7.2881	1.5641
HG01926	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	8.4064	24.6898	-22.6361	41.9852	2.8731
NA18507	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.9378	17.3846	2.1694	-0.1447	1.4477
HG00326	EUR	EUR	0.0000	0.0001	0.0003	0.0000	0.9997	0.8832	-9.4472	-3.2921	-7.0812	-6.8036
HG03066	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.7564	17.0676	3.3056	0.3131	1.1034
HG01060	AMR	AMR	0.0000	0.0013	0.9984	0.0002	0.0000	-5.2715	-5.9464	-6.0167	-1.6127	5.0593
HG00611	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.4255	44.0420	-2.0298	-6.2378	1.2533
NA12414	EUR	EUR	0.0000	0.0000	0.0005	0.0000	0.9995	1.4667	-12.7915	-1.1522	-5.3235	1.0060
HG03437	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.6123	17.9784	2.8456	-1.3738	-0.7694
NA20518	EUR	EUR	0.0000	0.0000	0.0077	0.0000	0.9923	-1.6918	-12.2680	-1.4859	-6.2943	9.0626
HG03491	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.1774	4.5880	19.6938	4.6652	0.6136
HG03538	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.2265	15.9720	3.1150	-0.2703	2.7484
NA19086	EAS	EAS	0.9997	0.0003	0.0000	0.0000	0.0000	7.3349	44.1536	0.6147	-3.9211	-6.2044
NA18528	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	5.5695	40.7167	-0.5583	-5.2163	1.1190
HG03976	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.7318	8.2703	22.6981	6.9622	0.7897
HG03750	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.4604	6.6917	20.9694	6.0376	4.8973
HG01565	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	4.4343	11.6145	-15.7674	24.8331	0.5359
HG02611	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.4172	17.1670	3.5381	-1.0841	4.9584
HG00451	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.3568	44.6155	0.0528	-5.0471	3.6515
HG02798	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-60.4671	17.1749	2.6165	0.3311	2.2500
HG02252	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	3.8031	11.8199	-16.1135	25.3194	3.6437
NA18965	EAS	EAS	0.9996	0.0003	0.0000	0.0000	0.0000	8.0771	42.7407	-0.9178	-4.8649	-4.4112
NA18969	EAS	EAS	0.9995	0.0005	0.0000	0.0000	0.0000	8.7597	42.2964	0.0195	-4.4563	-6.1888
HG00475	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	9.1761	43.5554	-0.6868	-5.3953	1.8992
HG02406	EAS	EAS	0.9998	0.0000	0.0000	0.0000	0.0002	9.3464	43.5565	0.9269	-8.7085	7.8348
HG00500	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.3330	43.3975	-0.8022	-4.8322	-0.2850
NA20803	EUR	EUR	0.0000	0.0000	0.0013	0.0000	0.9987	-1.0068	-13.4520	-2.5685	-8.5314	8.1064
HG02971	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.0735	17.9675	2.7036	-1.5381	6.1619
HG03872	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.8954	7.3911	22.1866	5.9504	3.6635
HG03291	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.4985	18.5950	1.9560	0.2562	3.7490
NA18982	EAS	EAS	0.9998	0.0002	0.0000	0.0000	0.0000	7.9030	41.6334	0.7032	-3.0777	-3.1854
NA18548	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.7871	42.5968	-0.7824	-5.5912	0.3669
NA18577	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.4833	44.1022	-1.7974	-5.4109	1.0800
NA20587	EUR	EUR	0.0000	0.0000	0.0001	0.0000	0.9999	-1.4191	-13.2568	-0.7430	-8.2770	4.3145
HG02860	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-60.0819	16.4668	1.5760	0.4804	0.5088
HG01784	EUR	EUR	0.0000	0.0000	0.0008	0.0000	0.9992	-0.2225	-13.0278	-2.8386	-9.3093	6.9948
HG00729	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.6670	43.7969	0.7752	-6.9386	4.1058
NA20888	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0543	5.2323	21.4841	5.5258	0.0530
NA20890	SAS	SAS	0.0000	0.0015	0.0000	0.9985	0.0000	-2.4441	2.4340	14.9355	4.1003	2.3856
HG00663	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.5898	43.4974	0.3984	-5.5378	4.3905
HG00956	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.7980	43.3021	0.5978	-6.6808	7.0479
NA20859	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.1937	4.3838	21.6922	4.9924	1.2803
HG03352	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.0528	17.2267	2.2394	0.0492	1.9492
HG02661	SAS	SAS	0.0000	0.0002	0.0000	0.9997	0.0000	-1.4616	2.4111	16.7262	4.4574	2.1197
HG03428	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.1171	16.1471	3.0638	-0.4410	2.7629
HG01626	EUR	EUR	0.0000	0.0000	0.0136	0.0000	0.9864	-1.3506	-12.9291	-3.9930	-8.6751	7.4695
HG02180	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.6671	43.5637	3.4187	-6.9577	7.1141
HG01941	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	2.6395	20.4092	-16.5968	32.5298	2.6252
HG03694	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.6329	7.6123	18.5243	2.7619	5.0895
HG02691	SAS	SAS	0.0000	0.0009	0.0002	0.9988	0.0001	0.4235	-0.2371	13.7469	2.4021	4.5673
NA18555	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.9481	42.7023	-0.2982	-6.2440	3.3747
HG00629	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.9524	43.9539	-0.8583	-6.5551	3.0404
NA12763	EUR	EUR	0.0000	0.0000	0.0030	0.0000	0.9970	1.4084	-12.4376	-2.9573	-8.0602	3.5019
NA18605	EAS	EAS	0.9999	0.0000	0.0000	0.0000	0.0000	8.8750	43.0715	0.1341	-6.6794	-0.8764
HG00149	EUR	EUR	0.0000	0.0000	0.0020	0.0000	0.9979	-0.5646	-13.4035	-3.2199	-7.8490	-0.4409
HG01612	EUR	EUR	0.0000	0.0002	0.0113	0.0001	0.9884	-2.4874	-12.8678	-3.2508	-8.4984	0.8849
HG01365	AMR	AMR	0.0000	0.0279	0.9721	0.0000	0.0000	-7.1056	1.7707	-6.3427	5.8912	2.4249
HG00442	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.4539	44.4579	-0.1485	-5.0189	1.5981
NA12155	EUR	EUR	0.0000	0.0000	0.0025	0.0000	0.9975	-0.4143	-14.5497	-2.9991	-8.2907	1.4373
NA20814	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	-1.3603	-11.8083	-1.4174	-9.1301	5.2314
NA18994	EAS	EAS	0.9998	0.0002	0.0000	0.0000	0.0000	7.7416	43.1714	0.2423	-4.3412	-3.7697
HG03019	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0151	6.6389	19.3637	5.4893	1.1515
NA19206	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.8384	16.1785	1.5940	0.7978	0.2951
NA19783	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	3.5736	16.9614	-15.6009	26.8651	4.2484
NA18977	EAS	EAS	0.9996	0.0004	0.0000	0.0000	0.0000	7.7062	40.1353	-0.7289	-5.2570	-3.4211
HG04023	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.9022	8.1857	24.7864	7.0105	0.1748
HG02108	AFR	AFR	0.0000	0.9993	0.0007	0.0000	0.0000	-51.6624	12.0392	0.8296	-1.7203	3.2006
NA19075	EAS	EAS	0.9995	0.0005	0.0000	0.0000	0.0000	9.0508	42.2284	-0.0696	-5.6808	-5.3055
HG03100	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.5724	16.1629	2.8098	-0.1568	3.8763
HG02648	SAS	SAS	0.0000	0.0127	0.0003	0.9867	0.0002	-2.1925	-1.1553	12.5852	3.6173	0.5422
NA20899	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.4956	3.8986	21.1291	6.7756	2.8393
HG04222	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.9978	7.3316	22.5100	5.6497	5.4297
HG01846	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.7432	41.8357	2.2684	-6.4179	4.3300
NA18976	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.0991	43.7516	-0.0351	-3.5123	0.4694
NA12413	EUR	EUR	0.0000	0.0000	0.0050	0.0000	0.9950	1.2867	-13.5303	-4.4356	-8.9663	0.1573
HG03744	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.9761	8.4345	20.2126	5.4954	2.0742
NA20281	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-52.1849	13.1467	3.0224	-0.4752	4.5203
HG00446	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	9.2426	44.4724	-0.5244	-6.7591	3.5363
HG02395	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.8302	44.0898	2.4716	-7.9256	9.4859
NA19461	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.4308	15.7631	3.7812	-0.7146	0.0445
NA20787	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	-2.3187	-12.4134	-0.0314	-7.2089	7.5145
HG01256	AMR	AMR	0.0000	0.0001	0.9992	0.0000	0.0007	-0.2065	-6.4023	-6.9182	-0.7533	3.5540
NA21093	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.6409	4.4582	23.5506	6.7753	4.0885
NA18523	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.9399	16.7928	2.8845	0.0802	5.1936
HG02391	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.6105	43.9061	1.1470	-7.6757	7.4471
HG02325	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-60.6160	16.1499	3.6919	0.4713	4.7711
NA19771	AMR	AMR	0.0000	0.0004	0.9996	0.0000	0.0000	0.0622	7.2043	-11.9693	13.7409	2.4044
HG03709	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.4380	6.7715	20.4648	3.6469	3.0887
HG01799	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.5481	46.0866	1.4705	-7.8271	8.4265
NA20532	EUR	EUR	0.0000	0.0000	0.0286	0.0000	0.9713	-2.0379	-13.3667	-3.5808	-7.5508	6.6442
HG03394	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.4342	16.5050	2.7163	-0.5053	1.5501
HG00472	EAS	EAS	0.9999	0.0000	0.0000	0.0000	0.0000	7.3867	43.6078	-0.0063	-7.4313	-1.2507
HG01345	AMR	AMR	0.0000	0.0051	0.9946	0.0003	0.0000	-2.0123	-2.4615	-5.5126	2.3395	3.0391
HG02603	SAS	SAS	0.0000	0.0002	0.0000	0.9998	0.0000	-1.0986	0.7784	17.9324	4.3078	4.2116
HG01164	AMR	AMR	0.0001	0.0018	0.9975	0.0006	0.0000	-5.0130	-6.8383	-5.8940	-2.3798	4.1276
HG03925	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.6478	11.0664	18.6988	5.3850	4.4625
HG02491	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.3485	3.8368	18.5517	4.9109	3.5631
HG02464	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.8727	17.1221	2.3889	-0.2763	2.3803
HG01868	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.8592	41.6663	2.6409	-5.7481	6.0325
NA19068	EAS	EAS	0.9998	0.0002	0.0000	0.0000	0.0000	9.4041	43.0344	-1.2059	-4.7141	-2.8483
NA19913	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-53.4111	12.2272	1.8829	-0.9160	-0.9268
NA12144	EUR	EUR	0.0000	0.0000	0.0370	0.0000	0.9630	1.4750	-14.2652	-4.0059	-7.1108	4.7953
HG01079	AMR	AMR	0.0003	0.0105	0.9878	0.0014	0.0000	-8.5970	-3.2217	-4.3275	-2.3711	2.0465
HG01494	AMR	AMR	0.0000	0.0069	0.9931	0.0000	0.0000	-2.7972	4.6871	-10.2994	11.7093	4.1356
NA20520	EUR	EUR	0.0000	0.0000	0.0043	0.0000	0.9956	-1.8422	-13.1391	-2.7220	-8.2117	2.7433
HG01390	AMR	AMR	0.0000	0.0256	0.9744	0.0000	0.0000	-17.4284	5.5462	-9.1615	4.9228	3.9699
HG02390	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.9138	42.6031	1.0110	-6.2568	6.1072
NA19404	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-58.5571	15.3142	1.7376	-1.0084	1.6866
HG01462	AMR	AMR	0.0000	0.1597	0.8403	0.0000	0.0000	-14.0784	8.0996	-6.7999	10.2481	0.2361
NA18612	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	5.9369	42.1447	-1.5976	-5.6389	0.1316
HG04015	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.4330	7.0204	21.1465	5.7387	2.6509
HG01747	EUR	EUR	0.0000	0.0000	0.0202	0.0000	0.9798	-0.5154	-13.2728	-3.5798	-7.2385	5.0438
HG03934	SAS	SAS	0.0002	0.0000	0.0000	0.9998	0.0000	-0.1099	10.6962	17.1408	5.7040	-0.0532
HG03268	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.5002	16.6065	2.3725	0.0334	3.5126
HG01378	AMR	AMR	0.0000	0.0045	0.9955	0.0000	0.0000	-0.6677	3.6446	-9.5310	9.3670	4.8789
HG02756	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.0458	15.5851	2.8550	-0.7342	3.8752
HG02164	EAS	EAS	0.9999	0.0000	0.0000	0.0000	0.0001	7.9562	43.1845	0.3647	-8.0039	5.5435
HG01447	AMR	AMR	0.0000	0.0039	0.9960	0.0001	0.0000	-2.6937	-2.4902	-6.1282	3.4856	2.3165
NA19454	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.0674	16.6519	2.0272	-0.0113	3.3798
HG02595	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.2451	15.9733	1.5265	-0.4514	2.3747
HG01334	EUR	EUR	0.0000	0.0000	0.0126	0.0000	0.9874	0.5626	-11.8887	-4.3468	-8.1685	-0.7183
NA19625	AFR	AFR	0.0000	0.9396	0.0604	0.0000	0.0000	-38.6502	17.1792	-1.9488	6.6449	7.9470
HG00250	EUR	EUR	0.0000	0.0000	0.0010	0.0000	0.9990	2.2875	-13.2365	-2.9917	-6.8600	-0.0821
NA20519	EUR	EUR	0.0000	0.0000	0.0001	0.0000	0.9999	-1.5173	-13.7043	-1.2409	-9.1948	5.2662
NA19024	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.8755	16.1897	3.8631	0.1426	3.0948
HG01603	EUR	EUR	0.0000	0.0000	0.0008	0.0000	0.9992	-1.1127	-11.7259	-1.6571	-8.1797	1.7502
HG01869	EAS	EAS	0.9999	0.0000	0.0000	0.0000	0.0001	7.2792	42.8112	1.3560	-7.9655	5.7547
NA12156	EUR	EUR	0.0000	0.0000	0.1240	0.0000	0.8760	0.9976	-14.0887	-5.5100	-7.2904	1.0370
HG03864	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.1051	7.5348	21.0820	6.5074	3.7130
NA18967	EAS	EAS	0.9996	0.0004	0.0000	0.0000	0.0000	8.4294	42.2006	-0.8967	-4.1447	-4.0439
HG00336	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	0.9293	-10.5505	-2.3403	-6.6119	-6.4593
HG04029	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7949	8.2470	21.6911	7.1661	-0.2312
NA21130	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.6299	4.1483	20.6784	7.0727	1.6318
NA18631	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.0603	44.7522	-0.1331	-5.5308	1.1126
HG03169	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.7229	17.8119	2.1305	-1.6582	1.9038
NA21100	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.8156	4.6934	21.6920	6.9340	2.9952
NA19819	AFR	AFR	0.0000	0.9976	0.0024	0.0000	0.0000	-42.5934	7.5233	-0.3481	-3.4375	-1.4952
HG00766	EAS	EAS	0.9996	0.0000	0.0000	0.0000	0.0004	8.2007	43.8372	1.0845	-9.3468	9.1313
